"object_id,""ts"",""x"",""y"",""x_v"",""y_v"",""x_a"",""y_a"",""x_size"",""y_size"",""z_size"",""heading"",""pedestrian_probability"",""bicyclist_probability"",""motorcycle_probability"",""car_probability"",""van_probability"",""truck_probability"",""t0"",""v_abs"",""a_abs"",""a_signed"",""a_in_heading"",""class"","
"4106,1509096323.0146,617354.91,5795481.59,-9.36,-27.3,0,0,1.6,3.48,1.27,251.06,0,0,0,255,0,0,0,28.86,0,0,0,""c"","
,1509096323.0546,617354.54,5795480.5,-9.36,-27.3,0,0,1.6,3.48,1.27,251.06,0,0,0,255,0,0,0.04,28.86,0,0,0,,
,1509096323.0946,617354.17,5795479.34,-9.5,-28.34,-0.04,-0.14,1.6,3.48,1.27,251.45,0,0,0,255,0,0,0.08,29.8899,0.1456,0.1456,0.14545,,
,1509096323.1346,617353.79,5795478.21,-9.5,-28.34,-0.04,-0.14,1.6,3.48,1.27,251.45,0,0,0,255,0,0,0.12,29.8899,0.1456,0.1456,0.14545,,
,1509096323.1746,617353.44,5795477.05,-9.49,-28.62,-0.07,-0.23,1.6,3.48,1.27,251.64,0,0,0,255,0,0,0.16,30.1524,0.24042,0.24042,0.24034,,
,1509096323.2146,617353.06,5795475.91,-9.49,-28.62,-0.07,-0.23,1.6,3.48,1.27,251.64,0,0,0,255,0,0,0.2,30.1524,0.24042,0.24042,0.24034,,
,1509096323.2546,617352.7,5795474.67,-9.63,-29.49,-0.23,-0.7,1.6,3.48,1.27,251.91,0,0,0,255,0,0,0.24,31.0225,0.73682,0.73682,0.73682,,
,1509096323.2946,617352.32,5795473.49,-9.63,-29.49,-0.23,-0.7,1.6,3.48,1.27,251.91,0,0,0,255,0,0,0.28,31.0225,0.73682,0.73682,0.73682,,
,1509096323.3346,617351.88,5795472.12,-9.88,-30.62,-0.5,-1.55,1.6,3.48,1.27,252.1,0,0,0,255,0,0,0.32,32.1745,1.6286,1.6286,1.6286,,
,1509096323.3746,617351.48,5795470.89,-9.88,-30.62,-0.5,-1.55,1.6,3.48,1.27,252.1,0,0,0,255,0,0,0.36,32.1745,1.6286,1.6286,1.6286,,
,1509096323.4146,617351.02,5795469.54,-9.94,-30.94,-0.56,-1.75,1.6,3.48,1.27,252.16,0,0,0,255,0,0,0.4,32.4975,1.8374,1.8374,1.8374,,
,1509096323.4546,617350.62,5795468.3,-9.94,-30.94,-0.56,-1.75,1.6,3.48,1.27,252.16,0,0,0,255,0,0,0.44,32.4975,1.8374,1.8374,1.8374,,
,1509096323.4946,617350.25,5795467.23,-9.92,-30.89,-0.49,-1.52,1.6,3.48,1.27,252.18,0,0,0,255,0,0,0.48,32.4438,1.597,1.597,1.597,,
,1509096323.5346,617349.85,5795465.99,-9.92,-30.89,-0.49,-1.52,1.6,3.48,1.27,252.18,0,0,0,255,0,0,0.52,32.4438,1.597,1.597,1.597,,
,1509096323.5746,617349.51,5795465.03,-9.71,-29.99,-0.07,-0.24,1.6,3.48,1.27,252.05,0,0,0,255,0,0,0.56,31.5228,0.25,0.25,0.24989,,
,1509096323.6146,617349.13,5795463.83,-9.71,-29.99,-0.07,-0.24,1.6,3.48,1.27,252.05,0,0,0,255,0,0,0.6,31.5228,0.25,0.25,0.24989,,
,1509096323.6546,617348.81,5795462.85,-9.56,-29.44,0.17,0.52,1.6,3.48,1.27,252,0,0,0,255,0,0,0.64,30.9533,0.54708,-0.54708,-0.54708,,
,1509096323.6946,617348.43,5795461.67,-9.56,-29.44,0.17,0.52,1.6,3.48,1.27,252,0,0,0,255,0,0,0.68,30.9533,0.54708,-0.54708,-0.54708,,
,1509096323.7346,617348.03,5795460.41,-9.69,-30.02,-0.1,-0.33,1.6,3.48,1.27,252.1,0,0,0,255,0,0,0.72,31.5452,0.34482,0.34482,0.34476,,
,1509096323.7746,617347.39,5795458.62,-8.99,-27.73,0.96,2.97,1.6,3.48,1.27,252.02,0,0,0,255,0,0,0.76,29.1509,3.1213,-3.1213,-3.1213,,
,1509096323.8146,617347.03,5795457.51,-8.99,-27.73,0.96,2.97,1.6,3.48,1.27,252.02,0,0,0,255,0,0,0.8,29.1509,3.1213,-3.1213,-3.1213,,
,1509096323.8546,617346.86,5795457.09,-9.58,-29.67,-0.06,-0.18,1.6,3.48,1.27,252.1,0,0,0,255,0,0,0.84,31.1783,0.18974,0.18974,0.18973,,
,1509096323.8946,617346.48,5795455.9,-9.58,-29.67,-0.06,-0.18,1.6,3.48,1.27,252.1,0,0,0,255,0,0,0.88,31.1783,0.18974,0.18974,0.18973,,
,1509096323.9346,617346.14,5795454.84,-10.66,-33.47,-1.89,-5.96,1.6,3.48,1.27,252.34,0,0,0,255,0,0,0.92,35.1266,6.2525,6.2525,6.2525,,
,1509096323.9746,617345.72,5795453.5,-10.66,-33.47,-1.89,-5.96,1.6,3.48,1.27,252.34,0,0,0,255,0,0,0.96,35.1266,6.2525,6.2525,6.2525,,
,1509096324.0146,617345.35,5795452.22,-11,-34.85,-2.39,-7.6,1.6,3.48,1.27,252.48,0,0,0,255,0,0,1,36.5448,7.9669,7.9669,7.9669,,
,1509096324.0546,617344.91,5795450.83,-11,-34.85,-2.39,-7.6,1.6,3.48,1.27,252.48,0,0,0,255,0,0,1.04,36.5448,7.9669,7.9669,7.9669,,
,1509096324.0946,617344.55,5795449.6,-11.34,-36.22,-2.89,-9.23,1.6,3.48,1.27,252.61,0,0,0,255,0,0,1.08,37.9537,9.6719,9.6719,9.6719,,
,1509096324.1346,617344.1,5795448.15,-11.34,-36.22,-2.89,-9.23,1.6,3.48,1.27,252.61,0,0,0,255,0,0,1.12,37.9537,9.6719,9.6719,9.6719,,
,1509096324.1746,617343.69,5795446.96,-11.22,-35.54,-2.22,-7.03,1.6,3.48,1.27,252.48,0,0,0,255,0,0,1.16,37.269,7.3722,7.3722,7.3722,,
,1509096324.2146,617343.24,5795445.54,-11.22,-35.54,-2.22,-7.03,1.6,3.48,1.27,252.48,0,0,0,255,0,0,1.2,37.269,7.3722,7.3722,7.3722,,
,1509096324.2546,617342.91,5795444.61,-10.09,-31.61,-0.12,-0.38,1.6,3.48,1.27,252.29,0,0,0,255,0,0,1.24,33.1813,0.3985,0.3985,0.3985,,
,1509096324.2946,617342.51,5795443.34,-10.09,-31.61,-0.12,-0.38,1.6,3.48,1.27,252.29,0,0,0,255,0,0,1.28,33.1813,0.3985,0.3985,0.3985,,
,1509096324.3346,617342.25,5795442.74,-10.1,-31.35,0.03,0.1,1.6,3.48,1.27,252.14,0,0,0,255,0,0,1.32,32.9368,0.1044,-0.1044,-0.10438,,
,1509096324.3746,617341.85,5795441.48,-10.1,-31.35,0.03,0.1,1.6,3.48,1.27,252.14,0,0,0,255,0,0,1.36,32.9368,0.1044,-0.1044,-0.10438,,
,1509096324.4146,617341.51,5795440.54,-10.15,-31.33,0.04,0.14,1.6,3.48,1.27,252.03,0,0,0,255,0,0,1.4,32.9331,0.1456,-0.1456,-0.14551,,
,1509096324.4546,617341.1,5795439.29,-10.15,-31.33,0.04,0.14,1.6,3.48,1.27,252.03,0,0,0,255,0,0,1.44,32.9331,0.1456,-0.1456,-0.14551,,
,1509096324.4946,617340.86,5795438.57,-9.98,-30.7,0.37,1.14,1.6,3.48,1.27,251.98,0,0,0,255,0,0,1.48,32.2814,1.1985,-1.1985,-1.1985,,
,1509096324.5346,617340.46,5795437.34,-9.98,-30.7,0.37,1.14,1.6,3.48,1.27,251.98,0,0,0,255,0,0,1.52,32.2814,1.1985,-1.1985,-1.1985,,
,1509096324.5746,617340.15,5795436.46,-9.58,-29.38,1,3.08,1.6,3.48,1.27,251.92,0,0,0,255,0,0,1.56,30.9024,3.2383,-3.2383,-3.2383,,
,1509096324.6146,617339.77,5795435.28,-9.58,-29.38,1,3.08,1.6,3.48,1.27,251.92,0,0,0,255,0,0,1.6,30.9024,3.2383,-3.2383,-3.2383,,
